name,region,address,type1,type2,lon,lat,cluster
서울랜드 동문주차장,과천시,경기 과천시 광명로 181,실외,야외시설,127.02556984,37.43444756,0
서울대공원 산들주차장,과천시,경기 과천시 막계동 324-8,실외,야외시설,127.0075138,37.43397705,0
서울대공원 공영주차장,과천시,경기 과천시 막계동 286-1,실외,야외시설,127.0073672,37.43617104,0
선바위역 공영주차장,과천시,경기 과천시 과천동 555-43,실외,노외,127.0032322,37.45092985,0
과천 아이플렉스 주차장,과천시,경기 과천시 과천대로5길 6 1층 주차관리사무소,실내,지하,126.97985655,37.41122397,1
과천국립현대미술관 주차장,과천시,경기 과천시 광명로 313,실외,야외시설,127.0186241,37.42922837,0
서울대공원 공영2주차장,과천시,경기 과천시 막계동 272,실외,야외시설,127.0083276,37.43569344,0
서울랜드 후문 직원 주차장,과천시,경기 과천시 막계동 137,실외,야외시설,127.0178021,37.43598522,0
과천서울대공원자연캠핑장 주차장,과천시,경기 과천시 막계동 585,실외,야외시설,127.0221485,37.43076129,0
국민은행앞 공영주차장,과천시,경기 과천시 별양동 1,실외,건물주변,126.9909198,37.42676791,1
정부과천청사 민원인주차장,과천시,경기 과천시 중앙동 4,실외,야외시설,126.9857877,37.42417968,1
나이스파크 과천 디엠타워 주차장,과천시,경기 과천시 과천대로7나길 37,실내,지하,126.9777686,37.41665765,1
쌈이맛 주차장,과천시,경기 과천시 막계동 132-7,실외,건물주변,127.0199545,37.43569925,0
국립과천과학관 동주차장,과천시,경기 과천시 상하벌로 110,실외,야외시설,127.0077923,37.43902903,0
경마공원역 환승주차장,과천시,경기 과천시 과천동 751-3,실외,야외시설,127.0082583,37.44271596,0
과천시민회관 주차장,과천시,경기 과천시 통영로 5,실내,지하,126.9885109,37.42817239,1
카카오T 서울대공원 주차장,과천시,경기 과천시 막계동 604,실외,야외시설,127.0158853,37.42862869,0
KOTITI시험연구원 과천사옥 오로라스퀘어 주차장,과천시,경기 과천시 과천대로7나길 48,실내,지하,126.9765766,37.41757285,1
관악산길노상공영주차장,과천시,경기 과천시 중앙동 44,실외,노상,126.9875038,37.43085461,1
본수원갈비 과천점 주차장,과천시,경기 과천시 과천동 531-1,실외,건물주변,126.9973126,37.44726724,0
찬우물3공영노외주차장,과천시,경기 과천시 갈현동 13-34,실외,노외,126.9842167,37.41653164,1
과천정보과학도서관주차장,과천시,경기 과천시 갈현동 670,실외,건물주변,126.9904114,37.41860104,1
과천주차빌딩,과천시,경기 과천시 별양상가1로 39,실내,지상,126.9940572,37.42829263,1
관악산주차장,과천시,경기 과천시 관문동 산 11-6,실외,야외시설,126.99092,37.43479056,1
관문체육공원 1주차장,과천시,경기 과천시 중앙로 294,실외,야외시설,126.9955026,37.44012844,0
하이파킹 과천래미안슈르상가점 주차장,과천시,경기 과천시 별양로 28,실내,지하,126.9909782,37.42101852,1
중앙동 소공원 주차장,과천시,경기 과천시 희망길 32,실내,지하,126.9895091,37.43217029,1
문원체육공원 공영주차장,과천시,경기 과천시 문원동 20,실외,야외시설,127.0041396,37.42744575,1
과천시청 주차장,과천시,경기 과천시 관문로 69,실외,건물주변,126.9874362,37.42963823,1
경마장주변 공영주차장,과천시,경기 과천시 과천동 750-1,실외,야외시설,127.0089677,37.44053545,0
소방서 뒤 노상 공영 주차장,과천시,경기 과천시 중앙동 40-14,실외,노상,126.9906473,37.42866813,1
경마장제2주차장,과천시,경기 과천시 과천동 154-1,실외,야외시설,127.0140367,37.4518589,0
카카오T 서울대공원 주차장,과천시,경기 과천시 막계동 324-5,실외,야외시설,127.0077173,37.43418878,0
서울대공원 바다주차장,과천시,경기 과천시 막계동 270-1,실외,야외시설,127.0094057,37.43696739,0
이마트 과천점 주차장,과천시,경기 과천시 별양상가3로 11,실내,지하,126.991861,37.42629585,1
