name,region,address,type1,type2,lon,lat
율동공원 B주차장,성남시 분당구,경기 성남시 분당구 서현로 459,실외,야외시설,127.1474514,37.37364583
공원마을 공영주차장,성남시 분당구,경기 성남시 분당구 분당동 102,실내,지하,127.1444343,37.37516418
천주교분당성요한성당 주차장,성남시 분당구,경기 성남시 분당구 서현로 498,실내,지하,127.1478665,37.36881762
분당동공영주차장,성남시 분당구,경기 성남시 분당구 분당로381번길 11,실내,지상,127.1464304,37.36877075
장안타운건영빌라 지하주차장,성남시 분당구,경기 성남시 분당구 서현로 471,실내,지하,127.1486285,37.37169994
샛별현대아파트 지하주차장,성남시 분당구,경기 성남시 분당구 불정로 308,실내,지하,127.1311011,37.3696357
쏘카존 율동공원B공영주차장,성남시 분당구,경기 성남시 분당구 서현로 459 지상 1층,실외,야외시설,127.1476842,37.37375456
율동공원B공영주차장 전기차충전소,성남시 분당구,경기 성남시 분당구 서현로 459 지상주차장,실외,야외시설,127.1469387,37.37296169
분당동 장안타운 건영아파트 모든 동의 지하1층 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 분당로263번길 24,실내,지하,127.1394302,37.37012805
율동자연공원 B주차장 전기차충전소,성남시 분당구,경기 성남시 분당구 서현로 459 율동자연공원 B주차장(서현로방면) 출입구 왼쪽,실외,야외시설,127.147041,37.37275433
분당동 두산건영빌라 모든 동의 지하1층 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 장안로 67,실내,지하,127.1456336,37.37242179
분당동 한신라이프빌라 모든 동의 지하1층 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 분당로263번길 68,실내,지하,127.1434002,37.37343366
분당동 샛별마을 우방아파트 모든 동의 지하1층 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 수내로 181,실내,지하,127.1282467,37.37201393
분당동 샛별마을 동성아파트 모든 동의 지하1층 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 분당로 212,실내,지하,127.1323446,37.37188598
분당동 샛별마을 라이프아파트 모든 동의 지하1층 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 분당로 190,실내,지하,127.1303773,37.37278378
분당동 샛별마을 삼부아파트 모든 동의 지하1층 주차장 민방위대피소,성남시 분당구,경기 성남시 분당구 수내로 201,실내,지하,127.128633,37.37016911
수내역환승공영주차장,성남시 분당구,경기 성남시 분당구 수내동 15-1,실내,지하,127.114812,37.37798171
분당구청 주차장2,성남시 분당구,경기 성남시 분당구 분당로 50,실외,야외시설,127.1185127,37.38203987
분당구청 주차장3,성남시 분당구,경기 성남시 분당구 분당로 50,실외,건물주변,127.1191817,37.38241763
황새울공원 공영주차장,성남시 분당구,경기 성남시 분당구 수내동 42,실외,야외시설,127.1186957,37.38357143
MS프라자 주차장,성남시 분당구,경기 성남시 분당구 황새울로214번길 8,실내,지상,127.1122921,37.37811387
MS프라자 주차장,성남시 분당구,경기 성남시 분당구 황새울로214번길 8,실내,지상,127.1122921,37.37811387
MS프라자 주차장,성남시 분당구,경기 성남시 분당구 황새울로214번길 8,실내,지하,127.1122921,37.37811387
MS프라자 주차장,성남시 분당구,경기 성남시 분당구 황새울로214번길 8,실내,지하,127.1122921,37.37811387
분당중앙공원 주차장,성남시 분당구,경기 성남시 분당구 수내동,실외,야외시설,127.1220567,37.37562819
현대오피스 주차장,성남시 분당구,경기 성남시 분당구 황새울로240번길 3,실내,지상,127.114946,37.37995842
초림 주차장,성남시 분당구,경기 성남시 분당구 황새울로240번길 3,실내,지하,127.1149957,37.37996378
분당중앙공원 A주차장,성남시 분당구,경기 성남시 분당구 수내동 69-1,실외,야외시설,127.1227014,37.37492832
수내제2공영주차장,성남시 분당구,경기 성남시 분당구 수내동 119-2,실외,노외,127.1285126,37.36638494
분당중앙공원 B주차장,성남시 분당구,경기 성남시 분당구 수내동 66,실외,야외시설,127.1211818,37.37635351
수내동 공영주차장,성남시 분당구,경기 성남시 분당구 발이봉북로 7,실내,지하,127.1282014,37.36664747
롯데백화점 수내점 그린지하주차장,성남시 분당구,경기 성남시 분당구 수내동 14,실내,지하,127.1150217,37.37852392
롯데백화점 분당점 주차장,성남시 분당구,경기 성남시 분당구 황새울로200번길 45,실내,지상,127.1148885,37.37857631
수내역 환승공영주차장 지하1층~지하3층 민방위대피소,성남시 분당구,경기 성남시 분당구 황새울로200번길 45,실내,지하,127.114317,37.37844712
롯데백화점 분당점 그린지상주차장,성남시 분당구,경기 성남시 분당구 수내동 15-2,미분류,미분류,127.1149651,37.37842126
금호행복시장 주차장,성남시 분당구,경기 성남시 분당구 내정로165번길 38,실외,건물주변,127.1174902,37.37586888
황새울국민체육센터 주차장,성남시 분당구,경기 성남시 분당구 수내동 43,실내,지하,127.1171111,37.38254314
후너스빌딩 주차장,성남시 분당구,경기 성남시 분당구 백현로 93,실내,지상,127.1110712,37.37706984
성남후너스빌딩 주차장,성남시 분당구,경기 성남시 분당구 백현로 93,실외,건물주변,127.1110792,37.37710948
돌고래시장 주차장,성남시 분당구,경기 성남시 분당구 내정로174번길 42,실외,건물주변,127.1221093,37.37184022
휴맥스빌리지 주차장,성남시 분당구,경기 성남시 분당구 황새울로 216,실내,지하,127.113075,37.37837983
초림프라자 주차장,성남시 분당구,경기 성남시 분당구 백현로101번길 17,실내,지하,127.112604,37.37753602
카카오T 도담빌딩 주차장,성남시 분당구,경기 성남시 분당구 황새울로 246,실내,지하,127.115486,37.380139
마루공원 주차장,성남시 분당구,경기 성남시 분당구 수내동 49-1,실외,야외시설,127.113693,37.38316368
하이파킹 수내N타워가든 주차장,성남시 분당구,경기 성남시 분당구 황새울로200번길 26,실내,지하,127.1130327,37.37654178
현대제일상가 주차장,성남시 분당구,경기 성남시 분당구 돌마로 364,실내,지하,127.1237373,37.36978329
로얄펠리스하우스빌 주차장,성남시 분당구,경기 성남시 분당구 백현로 105,실내,지상,127.1121041,37.37620749
로얄펠리스 하우스빌 민영 주차장,성남시 분당구,경기 성남시 분당구 백현로 105,실내,지하,127.1121041,37.37620749
분당 수내동 대명상가 주차장,성남시 분당구,경기 성남시 분당구 내정로173번길 11,실외,건물주변,127.1186902,37.3743062
코끼리 종합상가재래시장 주차장,성남시 분당구,경기 성남시 분당구 수내동 56,실내,지하,127.1204733,37.37246181
오너스타워 주차장,성남시 분당구,경기 성남시 분당구 황새울로200번길 28,실내,지하,127.113409,37.37676488
파크타운대림아파트101동 지하주차장,성남시 분당구,경기 성남시 분당구 내정로 186,실내,지하,127.1215614,37.3744024
조이시티타워 주차장,성남시 분당구,경기 성남시 분당구 황새울로258번길 25,실내,지하,127.1168928,37.37943482
KB국민은행 수내역종합금융센터 주차장,성남시 분당구,경기 성남시 분당구 수내동 16-1,실내,지하,127.1141497,37.37751472
대덕글로리 주차장,성남시 분당구,경기 성남시 분당구 수내로46번길 11,실내,지하,127.1168338,37.37996558
한솔인피니티 주차장,성남시 분당구,경기 성남시 분당구 황새울로200번길 22,실내,지하,127.1125468,37.37630167
보보스쉐르빌 주차장,성남시 분당구,경기 성남시 분당구 수내로 54,실내,지상,127.1178457,37.38011235
청구블루빌 주차장,성남시 분당구,경기 성남시 분당구 황새울로 224,실내,지하,127.1130643,37.37882945
양지프라임 주차장,성남시 분당구,경기 성남시 분당구 내정로 167,실내,지하,127.1190146,37.37387519
동신코아 주차장,성남시 분당구,경기 성남시 분당구 돌마로 361,실내,지하,127.1229654,37.37062475
아마노 수내역그라테아오피스텔 주차장,성남시 분당구,경기 성남시 분당구 황새울로258번길 23,실내,지상,127.117119,37.37964814
다운타운빌딩 주차장,성남시 분당구,경기 성남시 분당구 백현로 97,실내,지상,127.1114572,37.37699649
새하늘새땅,성남시 분당구,경기 성남시 분당구 발이봉로7번길 6-1,골목길,주택가,127.1274428,37.3659545
두산위브센티움2동 주차장,성남시 분당구,경기 성남시 분당구 수내로 42,실내,지상,127.1167324,37.38081445
두산위브센티움2동 주차장,성남시 분당구,경기 성남시 분당구 수내로 42,실내,지상,127.1167324,37.38081445
