name,region,address,type1,type2,lon,lat
동서울대학교 주차장2,성남시 수정구,경기 성남시 수정구 복정로 76,실외,건물주변,127.1308617,37.46051629
수진 제3공영주차장,성남시 수정구,경기 성남시 수정구 제일로 128,실내,지상,127.1334324,37.4378241
번성공영주차장,성남시 수정구,경기 성남시 수정구 수정남로 14,실내,지상,127.12969,37.43915276
수진제2공영주차장,성남시 수정구,경기 성남시 수정구 제일로 99,실내,지상,127.1340856,37.43534918
수정커뮤니티센터 공영주차장,성남시 수정구,경기 성남시 수정구 탄리로 59,실내,지상,127.1361094,37.44102596
성남도시개발공사 사송공영차고지,성남시 수정구,경기 성남시 수정구 사송로 41,실내,지상,127.1162583,37.41381933
성남중앙공설시장 주차장,성남시 수정구,경기 성남시 수정구 수정로 109,실내,지상,127.1318252,37.44142546
판교아이스퀘어C2 주차장,성남시 수정구,경기 성남시 수정구 창업로 17,실내,지하,127.0985216,37.41226676
신흥제9공영주차장,성남시 수정구,경기 성남시 수정구 시민로 173,실내,지하,127.1425135,37.44356378
위례중앙타워 주차장,성남시 수정구,경기 성남시 수정구 위례광장로 300,실내,지하,127.1427003,37.47347173
복정제1 공영주차장,성남시 수정구,경기 성남시 수정구 성남대로 1544,실외,노외,127.1271319,37.46793118
태평 제1공영주차장,성남시 수정구,경기 성남시 수정구 제일로 236,실내,지상,127.129236,37.44716237
신흥제7공영주차장,성남시 수정구,경기 성남시 수정구 수정남로 85,실내,지상,127.1369764,37.44180073
성남시의료원 주차장,성남시 수정구,경기 성남시 수정구 수정로171번길 10,실내,지하,127.1384721,37.44458042
새찬,성남시 수정구,경기 성남시 수정구 고등로5길 10,실내,지상,127.1018402,37.43056092
나인트리 바이 파르나스 서울 판교 주차장,성남시 수정구,경기 성남시 수정구 시흥동 산 53-1,실내,지하,127.0976923,37.41295223
복정제4 공영주차장,성남시 수정구,경기 성남시 수정구 복정로20번길 16,실내,지상,127.1290477,37.45463648
태평공원 공영주차장,성남시 수정구,경기 성남시 수정구 태평동 7285,실내,지하,127.1217885,37.44011804
인터파크트리플 주차장,성남시 수정구,경기 성남시 수정구 금토로 70,실내,지하,127.087585,37.40544564
위례성희프라자 주차장,성남시 수정구,경기 성남시 수정구 위례서일로 34,실내,지하,127.1394909,37.46439519
을지대학교성남캠퍼스 지하주차장,성남시 수정구,경기 성남시 수정구 산성대로 553,실내,지하,127.165468,37.46095224
을지대학교성남캠퍼스 주차장,성남시 수정구,경기 성남시 수정구 산성대로 553,실내,지상,127.1652714,37.46102099
태평4동 제3공영주차장,성남시 수정구,경기 성남시 수정구 남문로 112,실내,지하,127.1393684,37.44714275
선한목자교회 외부주차장,성남시 수정구,경기 성남시 수정구 복정동 641-9,실외,야외시설,127.1272935,37.466584
복정 제5주차장,성남시 수정구,경기 성남시 수정구 복정로 55,실내,지하,127.1265984,37.45792602
복정 제3공영주차장,성남시 수정구,경기 성남시 수정구 복정로 98,실내,지상,127.1272242,37.46173933
신흥제10 공영(기계식)주차장,성남시 수정구,경기 성남시 수정구 산성대로283번길 7,실내,지상,127.1479108,37.44197496
배뫼산축구장 주차장,성남시 수정구,경기 성남시 수정구 둔전동 223-2,실외,야외시설,127.1161793,37.42843752
청담추어정 주차장,성남시 수정구,경기 성남시 수정구 시흥동 38-2,실외,건물주변,127.108281,37.42161981
태평1동5118 주차장,성남시 수정구,경기 성남시 수정구 성남대로 1314,미분류,미분류,127.1271454,37.4472178
신흥1동 무료주차장,성남시 수정구,경기 성남시 수정구 신흥동 6946,실외,노외,127.1410085,37.43828564
