name,region,address,type1,type2,lon,lat
모란다목적공영주차장,성남시 중원구,경기 성남시 중원구 둔촌대로 68,실외,노외,127.12764769794929,37.42890322745813
성남동 대형공영주차장,성남시 중원구,경기 성남시 중원구 둔촌대로 10,실외,야외시설,127.1197514,37.42824654
모란 민속 공영주차장,성남시 중원구,경기 성남시 중원구 성남동 4944,실내,지하,127.1284535,37.42971507
모란1노상공영주차장,성남시 중원구,경기 성남시 중원구 성남동 4870,실외,노상,127.1268235,37.42993758
금광2동 제2공영주차장,성남시 중원구,경기 성남시 중원구 산성대로 434,실내,지상,127.1599433,37.45048649
중상1 노상공영주차장,성남시 중원구,경기 성남시 중원구 광명로 19,실외,노상,127.1311178,37.43367662
모란민속5일장 고객주차장,성남시 중원구,경기 성남시 중원구 성남동 4946,실외,노외,127.1270921,37.42770998
은행동 제10공영주차장,성남시 중원구,경기 성남시 중원구 은이로 11,실내,지하,127.1657407,37.45749198
해오름공영주차장,성남시 중원구,경기 성남시 중원구 광명로264번길 39,실내,지상,127.15918151304446,37.44083045167167
중상3 노상공영주차장,성남시 중원구,경기 성남시 중원구 산성대로 132,실외,노상,127.13376254974897,37.43411695269545
성남시청 주차장1,성남시 중원구,경기 성남시 중원구 성남대로 997,실외,건물주변,127.1249093,37.41958963548845
수진역환승주차장,성남시 중원구,경기 성남시 중원구 산성대로 208,실내,지상,127.141732,37.43723959
중앙동제1공영주차장,성남시 중원구,경기 성남시 중원구 희망로 443,실내,지상,127.1571594,37.44437414
카카오T 모란역 주차장,성남시 중원구,경기 성남시 중원구 성남동 4165,실외,건물주변,127.12841841690498,37.43165319512309
중상12노상공영주차장,성남시 중원구,경기 성남시 중원구 성남동 1315,실외,노상,127.14028744607424,37.43698542965819
모란 니즈몰 주차장,성남시 중원구,경기 성남시 중원구 성남대로 1136,실내,지하,127.1298937,37.43145967
상대원제1공영주차장,성남시 중원구,경기 성남시 중원구 사기막골로45번길 42,실내,지하,127.16837151395237,37.43866969971238
중원노인종합복지관 주차장,성남시 중원구,경기 성남시 중원구 제일로35번길 51,실내,지하,127.13155812118306,37.43218764900891
노벨과개미 주차장,성남시 중원구,경기 성남시 중원구 둔촌대로457번길 26,실외,건물주변,127.1701904,37.4320158
금광2동 제1공영주차장,성남시 중원구,경기 성남시 중원구 금빛로69번길 18,실내,지하,127.164404,37.44788905
여수동제1공영주차장,성남시 중원구,경기 성남시 중원구 여수동 374 1층,실외,노외,127.1242056,37.41755408
투루파킹 성남모란점,성남시 중원구,경기 성남시 중원구 성남동 4118,실외,노외,127.1304073,37.43053105
성남동 제1공영주차장,성남시 중원구,경기 성남시 중원구 성남동 2810,실외,노외,127.1459383050622,37.43640193824983
