name,region,address,type1,type2,lon,lat
박두진문학길 주차장,안성시,경기 안성시 금광면 오흥리 824-3,실외,야외시설,127.335971476029,36.9942811871927
금광호수 수석정 공영주차장,안성시,경기 안성시 금광면 현곡리 683-7,미분류,미분류,127.345596154917,36.9833741020883
농협안성팜랜드 제1주차장,안성시,경기 안성시 공도읍 대신두길 28,실외,야외시설,127.193186409584,36.9940240070375
안일옥 본점 전용주차장,안성시,경기 안성시 중앙로411번길 20,실외,건물주변,127.27297717915,37.007480844098
스타필드 안성 본관 지상주차장,안성시,경기 안성시 공도읍 서동대로 3930-39,실내,지상,127.147168765436,36.9955803684505
홈플러스물류서비스센터 주차장,안성시,경기 안성시 원곡면 원곡물류단지로 140,실외,건물주변,127.162668260857,37.0431136543035
칠장사 주차장,안성시,경기 안성시 죽산면 칠장리 790,실외,야외시설,127.396785280551,37.026324663529
안성맞춤랜드 주차장1,안성시,경기 안성시 보개면 남사당로 198,실외,야외시설,127.307381057138,37.0338631257042
공도저류지 공영주차장,안성시,경기 안성시 공도읍 만정리 819,실내,지상,127.168714279146,36.9993698545903
석남사 주차장,안성시,경기 안성시 금광면 상촌새말길 3-120,실외,야외시설,127.307122090583,36.9393079783744
서인동공영주차장,안성시,경기 안성시 장기로69번길 31,실내,지상,127.27022628425372,37.005771485412566
청룡사 주차장,안성시,경기 안성시 서운면 청룡길 140,실외,야외시설,127.288702309673,36.9140551687637
박두진문학길수석정 주차장,안성시,경기 안성시 금광면 현곡리 40,실외,야외시설,127.3429194476,36.9860987109971
유토피아추모관 주차장,안성시,경기 안성시 일죽면 화곡길 130,실외,야외시설,127.461177705521,37.1179964732199
동본동공영주차장,안성시,경기 안성시 중앙2길 42,실내,지상,127.2719562036544,37.00789047531283
스타필드 안성 주차장,안성시,경기 안성시 공도읍 서동대로 3930-39,실외,건물주변,127.14602765486994,36.99512132465714
석정동공영주차장,안성시,경기 안성시 중앙로367번길 7,실내,지상,127.26759966427753,37.00839056429901
안성성모병원 주차장,안성시,경기 안성시 시장길 58,실내,지상,127.27069042283662,37.00580556986674
에덴블루CC 주차장,안성시,경기 안성시 죽산면 녹배길 175,실외,야외시설,127.383830588944,37.0568952699272
공도공영주차장,안성시,경기 안성시 공도읍 승두리 65-15,실외,노상,127.168624284908,36.9976369323453
서운산자연휴양림 주차장,안성시,경기 안성시 금광면 상중리 25-5,실외,야외시설,127.31399184,36.94252672
서안성골프클럽 주차장,안성시,경기 안성시 원곡면 지문리 769 1층,실외,야외시설,127.141722426249,37.0619620583918
청룡호수 공영주차장,안성시,경기 안성시 서운면 청룡길 116,실외,야외시설,127.288000032884,36.9105290960506
스타필드 안성 본관지하주차장,안성시,경기 안성시 공도읍 서동대로 3930-39,실내,지하,127.147251281582,36.9946791838084
신안CC 주차장,안성시,경기 안성시 고삼면 개울말길 149,실외,야외시설,127.25077376152252,37.0984479926887
롯데마트 안성점 주차장,안성시,경기 안성시 공도읍 서동대로 4478,실외,건물주변,127.199509339455,37.0077813413077
죽산순교성지주차장,안성시,경기 안성시 일죽면 죽림리 549-2,실외,야외시설,127.447686489979,37.075710164437
안성베네스트GC 주차장,안성시,경기 안성시 금광면 삼흥로 660,실외,야외시설,127.385464048092,37.0197388197401
아양지구 제4공영주차장,안성시,경기 안성시 옥산동 587,실외,노외,127.25357707779,37.0029773924197
스타필드 안성 별관주차장,안성시,경기 안성시 공도읍 진사리 354,실내,지상,127.147249620616,36.9946334108693
