name,region,address,type1,type2,lon,lat
교각아래두물머리 제5공용주차장,양평군,경기 양평군 양서면 양수리 769-2,실외,노상,127.316928819294,37.5367190014613
사나사계곡주차장,양평군,경기 양평군 옥천면 사나사길 204,실외,야외시설,127.500324114319,37.5296993438924
두물머리 세미원 무료주차장,양평군,경기 양평군 양서면 용담리 580-13,실외,노외,127.323067363178,37.542199346406
스타벅스 더양평DT점 주차장,양평군,경기 양평군 양평읍 양근리 501-3,실외,건물주변,127.481696098535,37.4970294712052
개군할머니 토종순대국 본점 주차장,양평군,경기 양평군 개군면 하자포리 220-27,실외,건물주변,127.537544733014,37.425421373283
양평물맑은시장 공영주차장,양평군,경기 양평군 양평읍 양근리 166-9,실외,노외,127.49256199392,37.4909321186314
중원계곡 주차장1,양평군,경기 양평군 용문면 중원리 706,실외,야외시설,127.61667830047,37.5398830863488
양수역공영주차장,양평군,경기 양평군 양서면 용담리 253-2,실외,노외,127.328921587142,37.5447570590515
양평시장 공영주차장,양평군,경기 양평군 양평읍 양근리 380,실내,지상,127.491079800135,37.4916562049054
느티나무주차장,양평군,경기 양평군 양서면 양수리 772-1,실외,야외시설,127.316180506213,37.5340987453029
신내서울해장국집 본점 주차장,양평군,경기 양평군 개군면 신내길 14-1,실외,건물주변,127.527642192151,37.465220466034
주차장,양평군,경기 양평군 양서면 양수리 1157,실외,야외시설,127.319453708257,37.5418799536584
대디스바베큐 주차장,양평군,경기 양평군 옥천면 옥천문화마을3길 15-24,실외,건물주변,127.463283149705,37.5126919077776
두물머리장원한정식 제1주차장,양평군,경기 양평군 양서면 양수리 657,실외,건물주변,127.318299477389,37.5440710490508
소리산소금강주차장,양평군,경기 양평군 단월면 석산리 산 100-11,실외,야외시설,127.610855993596,37.6269715437723
중원계곡 주차장2,양평군,경기 양평군 용문면 중원리 607-5,실외,야외시설,127.619907848122,37.548938290772
용문산관광지 관광객주차장,양평군,경기 양평군 용문면 신점리 524-5,실외,야외시설,127.583423221745,37.5450199373521
양서문화체육공원 주차장,양평군,경기 양평군 양서면 양수로 105,실외,야외시설,127.322973180111,37.5416917126094
무료공영주차장,양평군,경기 양평군 양서면 용담리 535-7,실외,노외,127.32355242325,37.5418790657766
용문천년시장 공영주차장,양평군,경기 양평군 용문면 다문리 798-1,실외,노상,127.590084598419,37.4808169472532
칸트의마을 주차장,양평군,경기 양평군 강하면 강남로 102-10,실외,야외시설,127.399960238854,37.4922327385719
본가양평해장국 주차장,양평군,경기 양평군 강상면 강남로 837-1,실외,노상,127.471131436552,37.4908542822625
내추럴가든529 주차장,양평군,경기 양평군 서종면 수입리 522,실외,야외시설,127.38183373445,37.6378371770881
양평역 1주차장,양평군,경기 양평군 양평읍 역전길 30,실외,노외,127.490620003041,37.4934839889967
용문역 1주차장,양평군,경기 양평군 용문면 다문리 747-4,실외,노외,127.593205108203,37.482056679167
양평공용주차장,양평군,경기 양평군 양서면 용담리 507-10,실외,노외,127.325332527485,37.5425801052009
양동농협하나로마트 주차장,양평군,경기 양평군 양동면 학둔지아래길 111,실외,건물주변,127.755858351162,37.4173744008173
양동역 주차장,양평군,경기 양평군 양동면 쌍학리 223-7,실외,노외,127.754084235405,37.4208292546825
사나사주차장,양평군,경기 양평군 옥천면 용천리 305-3,실외,야외시설,127.506333062842,37.5385163372403
테라로사 서종점 주차장,양평군,경기 양평군 서종면 북한강로 990,실외,건물주변,127.354531294259,37.6249158085823
양평백운봉자연휴양림 주차장1,양평군,경기 양평군 양평읍 백안리 786-10,실외,야외시설,127.518407451769,37.5153450233012
원덕역 주차장,양평군,경기 양평군 양평읍 원덕리 312-5,실외,노외,127.546352717238,37.4686572688075
경기양평 국립교통재활병원 2 주차장,양평군,경기 양평군 양평읍 중앙로 260,실외,건물주변,127.518831920029,37.489680628593
구하우스 미술관 주차장,양평군,경기 양평군 서종면 문호리 779-17,실외,건물주변,127.351144424629,37.6030515683532
어무이맛양평해장국 주차장,양평군,경기 양평군 양평읍 중앙로 88,실외,건물주변,127.4985125896104,37.49394829860936
대명양평콘도미니엄 주차장3,양평군,경기 양평군 개군면 신내길7번길 55,실외,건물주변,127.533831827019,37.469005701681
스타벅스 경기양평점 주차장,양평군,경기 양평군 양평읍 시민로 75,실외,건물주변,127.500052568099,37.4910405756674
투썸플레이스 서종리버사이드점 주차장,양평군,경기 양평군 서종면 문호리 618-12,실외,건물주변,127.353497203899,37.6242991251129
구벼울 주차장,양평군,경기 양평군 옥천면 남한강변길 123-19,실외,건물주변,127.424925876749,37.5088186667468
양평광탄1991고바우설렁탕 주차장,양평군,경기 양평군 용문면 은고갯길 5,실외,건물주변,127.62981013804,37.5070469932596
옥천냉면황해식당 본점 주차장,양평군,경기 양평군 옥천면 고읍로 140,실외,건물주변,127.45776291272,37.5198195871032
용문산자연휴양림 주차장2,양평군,경기 양평군 양평읍 백안리 산 68-1,실외,야외시설,127.519419817144,37.5160492074347
박승광해물칼국수 서종직영점 주차장,양평군,경기 양평군 서종면 북한강로 962,실외,건물주변,127.353174804914,37.6227402189637
양수리한옥집 주차장,양평군,경기 양평군 양서면 양수로138번길 41,실외,건물주변,127.321852913519,37.5474154627535
아신역 주차장,양평군,경기 양평군 옥천면 아신리 359-3,실외,노외,127.443105656936,37.5136938387664
갈산공원 주차장,양평군,경기 양평군 양평읍 창대리 산 23,실외,야외시설,127.496063035491,37.4845055993785
