region,address,name,type1,type2,lon,lat
용인시 수지구,경기 용인시 수지구 포은대로 435,수지구청 공영주차장,실내,지하,127.096869750089,37.32238176979782
용인시 수지구,경기 용인시 수지구 포은대로 536,신세계백화점 사우스시티 주차빌딩,실내,지상,127.10689513130954,37.32472933827495
용인시 수지구,경기 용인시 수지구 성복1로 94,세계로마트 수지성복점 주차장,실내,지상,127.069533947346,37.3163190142163
용인시 수지구,경기 용인시 수지구 포은대로 536,신세계 사우스시티 주차장,실내,지하,127.1084000326424,37.32458830915554
용인시 수지구,경기 용인시 수지구 동천동 115-3,산으로간고등어 주차장,실외,건물주변,127.090379644014,37.3476484812844
용인시 수지구,경기 용인시 수지구 풍덕천동 860,제네시스 수지전시관 주차장,실외,건물주변,127.102287492495,37.3280329912191
용인시 수지구,경기 용인시 수지구 풍덕천로171번길 9-1,풍덕천공영주차장,실내,지상,127.0990853038521,37.32731849457316
용인시 수지구,경기 용인시 수지구 이종무로 157,고기리막국수 제1주차장,실외,건물주변,127.040039294285,37.3598299317118
용인시 수지구,경기 용인시 수지구 성복동 361-3,성복동임시공영주차장,실외,노외,127.059464539029,37.3229276368549
용인시 수지구,경기 용인시 수지구 풍덕천로140번길 15,미가훠궈양고기 주차장,미분류,미분류,127.098210524163,37.3227185519129
용인시 수지구,경기 용인시 수지구 성복2로 38,롯데몰 수지점 주차장,미분류,미분류,127.0812361053797,37.31315433566567
용인시 수지구,경기 용인시 수지구 풍덕천동 1237,풍덕천제2공영주차장,실내,지상,127.099275675461,37.3274247468871
용인시 수지구,경기 용인시 수지구 호수로96번길 7,카카오 AI 캠퍼스 주차장,실내,지하,127.07187957091354,37.35208224684919
용인시 수지구,경기 용인시 수지구 고기로 487,스타벅스 용인고기동유원지점 제1주차장,실외,노외,127.055349983325,37.3595420971001
용인시 수지구,경기 용인시 수지구 수지로342번길 21,소나무마트 주차장,실외,건물주변,127.097383289277,37.326904531774
용인시 수지구,경기 용인시 수지구 문정로7번길 7,용인시평생학습관 공영주차장,실외,야외시설,127.09625413379472,37.320923499687154
용인시 수지구,경기 용인시 수지구 상현동 857,만현마을10단지아이파크아파트 상가동 주차장,골목길,상가,127.085095301061,37.3107490147914
용인시 수지구,경기 용인시 수지구 동천동 325-697,동천역 공영주차장,실외,건물주변,127.10397347627,37.3377363492372
용인시 수지구,경기 용인시 수지구 광교중앙로 338,광교우미뉴브 지식산업센터 주차장,미분류,미분류,127.07161048228043,37.300468566512286
용인시 수지구,경기 용인시 수지구 수지로 119,데이파크 주차장,실내,지하,127.07901135962014,37.31301077541935
용인시 수지구,경기 용인시 수지구 수지로 454-9,카카오T 동천동898 주차장,실외,야외시설,127.100140183112,37.3383065842706
용인시 수지구,경기 용인시 수지구 성복2로76번길 26-3,드림타워 주차장,실내,지상,127.080656227801,37.3152298142431
용인시 수지구,경기 용인시 수지구 성복1로 279-14,타임투비 주차장,실외,건물주변,127.055250369478,37.3237285354628
용인시 수지구,경기 용인시 수지구 신봉1로 73,엘마트 용인점 주차장,실외,건물주변,127.076680642854,37.3229218774633
용인시 수지구,경기 용인시 수지구 풍덕천동 789,수지노상공영주차장,실외,노상,127.099276473694,37.3252013589122
용인시 수지구,경기 용인시 수지구 광교중앙로 301,드림타워1 주차장,실내,지하,127.068502126727,37.296893290691
용인시 수지구,경기 용인시 수지구 포은대로 499,아르피아 유료주차장,실외,건물주변,127.1045840133954,37.32523057553365
용인시 수지구,경기 용인시 수지구 상현동 1199,상현2동행정복지센터주차장,실내,지하,127.086529403345,37.3103604398306
용인시 수지구,경기 용인시 수지구 풍덕천동 35,수지체육공원 공영주차장,실외,야외시설,127.097110055921,37.3279000364385
용인시 수지구,경기 용인시 수지구 풍덕천동 43-5,맥도날드 용인수지DT점 주차장,실외,건물주변,127.102331467086,37.3302574206167
용인시 수지구,경기 용인시 수지구 풍덕천로129번길 8,아마노 용인경방 주차장,실내,지상,127.09590149519,37.3239728813926
