region,address,name,type1,type2,lon,lat
용인시 기흥구,경기 용인시 기흥구 민속촌로 90,한국민속촌 주차장,실외,야외시설,127.11539669016304,37.25685520109184
용인시 기흥구,경기 용인시 기흥구 신갈동 605-9,신갈IC공영주차장,실외,야외시설,127.102996585829,37.270094382039
용인시 기흥구,경기 용인시 기흥구 기흥역로 63 지하1층,기흥역 환승주차장,실내,지하,127.118778508807,37.274842769629
용인시 기흥구,경기 용인시 기흥구 보정동 1090,보정제2공영주차장,실외,야외시설,127.107925057521,37.3214486442304
용인시 기흥구,경기 용인시 기흥구 용구대로 2403,구성역 주차장,실외,노외,127.10540148865,37.2981916074106
용인시 기흥구,경기 용인시 기흥구 보정동 1180,보정제1공영주차장,실외,노외,127.110583857853,37.3234073773627
용인시 기흥구,경기 용인시 기흥구 농서동 427,능서동임시공영주차장2,실외,야외시설,127.071738456467,37.234822395122
용인시 기흥구,경기 용인시 기흥구 갈천로7번길 69,신갈공영주차장,실내,지상,127.10672867465686,37.27082046883718
용인시 기흥구,경기 용인시 기흥구 신갈동 470-9,신갈제2공영주차장,실외,야외시설,127.104467095423,37.2710584686512
용인시 기흥구,경기 용인시 기흥구 서천로201번길 11,기흥테라타워 주차장,실내,지상,127.071894467406,37.2314278774353
용인시 기흥구,경기 용인시 기흥구 보정동 1019-1138,하이파킹 GTX-A구성역 주차장,실외,노외,127.104790982945,37.2981980062457
용인시 기흥구,경기 용인시 기흥구 관곡로 95,기흥구청 공영주차장,실외,건물주변,127.11493683740387,37.28063411930647
용인시 기흥구,경기 용인시 기흥구 신정로 135,만수정 주차장,실외,건물주변,127.1027839695836,37.28346104221637
용인시 기흥구,경기 용인시 기흥구 동백죽전대로 363,용인세브란스병원 지상주차장,실외,건물주변,127.14634454417806,37.27100338598896
용인시 기흥구,경기 용인시 기흥구 탑실로 38,코스트코 공세점 주차장,실외,야외시설,127.108933300435,37.2382475520308
용인시 기흥구,경기 용인시 기흥구 구갈동 374-10,나주집 본점 주차장,실외,건물주변,127.116489145205,37.2767131704831
용인시 기흥구,경기 용인시 기흥구 마북로240번길 17,KB증권연수원 주차장,미분류,미분류,127.134158273756,37.310005713945
용인시 기흥구,경기 용인시 기흥구 하갈로 79,기흥레스피아호수공원 주차장1,실외,야외,127.096396628889,37.2522354256132
용인시 기흥구,경기 용인시 기흥구 동백5로 12,동백호수공원 주차장,실외,야외,127.150847724814,37.2767049199852
용인시 기흥구,경기 용인시 기흥구 동탄기흥로 923,용인조정경기장 전용주차장,미분류,미분류,127.101151667597,37.2408674863728
용인시 기흥구,경기 용인시 기흥구 하갈동 426,신갈저수지 서편주차장,실외,야외시설,127.090949205559,37.249909275286
용인시 기흥구,경기 용인시 기흥구 금화로105번길 3,상갈공영주차장,실내,지상,127.10677009554524,37.26582055447115
용인시 기흥구,경기 용인시 기흥구 석성로521번길 169,88CC 주차장,실외,야외시설,127.16808350881932,37.30210536953725
용인시 기흥구,경기 용인시 기흥구 신고매로 62,이케아 기흥점 주차장,실외,야외시설,127.115941440111,37.2224599644146
용인시 기흥구,경기 용인시 기흥구 보라동 409-13,보라동 409-13 공영주차장,실외,노외,127.108800314403,37.2544738624745
용인시 기흥구,경기 용인시 기흥구 영덕동 1052-2,살살녹소 본점 주차장,실외,건물주변,127.081755393144,37.2712822192224
용인시 기흥구,경기 용인시 기흥구 관곡로64번길 18,덕형빌딩 주차장,실내,지상,127.11227335675932,37.28134128802726
용인시 기흥구,경기 용인시 기흥구 삼성로 1,삼성전자 기흥캠퍼스 주차장1,실외,건물주변,127.083481141752,37.2254517393504
용인시 기흥구,경기 용인시 기흥구 원고매로2번길 85-2,고메커피 주차장,실외,건물주변,127.110872427446,37.2195066764504
용인시 기흥구,경기 용인시 기흥구 보정동 1264,보정동행정복지센터 공영주차장,실외,건물주변,127.113092762127,37.3201885889792
용인시 기흥구,경기 용인시 기흥구 중부대로 지하 460,기흥역 주차장,실내,지하,127.11589459532986,37.27502511524011
용인시 기흥구,경기 용인시 기흥구 신갈로58번길 11,기흥구보건소 주차장,실내,지하,127.107009880519,37.2727448376294
용인시 기흥구,경기 용인시 기흥구 죽전로 20,죽전누리에뜰 상가 주차장,골목길,상가,127.110856380398,37.3200628486228
용인시 기흥구,경기 용인시 기흥구 삼성로 1,삼성전자 기흥캠퍼스 주차장2,실내,지상,127.085351182265,37.2250791747966
용인시 기흥구,경기 용인시 기흥구 기흥단지로 398,골드CC 주차장,실외,야외시설,127.13734191702449,37.21829406309514
용인시 기흥구,경기 용인시 기흥구 삼성로 1,삼성전자 기흥캠퍼스 주차장4,실외,노외,127.081158444308,37.2282357886955
용인시 기흥구,경기 용인시 기흥구 동백중앙로 283,동백골드프라자 주차장,미분류,미분류,127.153488839543,37.2780134382172
용인시 기흥구,경기 용인시 기흥구 중동 1058,동백노상공영주차장,실외,노상,127.150812541801,37.2738205567905
용인시 기흥구,경기 용인시 기흥구 고매동 409-95,떼레노시떼 스페셜점 주차장,미분류,미분류,127.106683996595,37.227306570017
용인시 기흥구,경기 용인시 기흥구 농서로 48,삼성전자 기흥사업장 임시주차장,실외,건물주변,127.092011026972,37.2237081996299
용인시 기흥구,경기 용인시 기흥구 죽전로15번길 8-19,헤르마주차장,실내,지상,127.111354412192,37.3211652454816
용인시 기흥구,"경기 용인시 기흥구 신고매로 124 1층, 지하1-3층",롯데프리미엄아울렛 기흥점 주차장,실내,지하,127.12086313,37.22604752
용인시 기흥구,경기 용인시 기흥구 공세로 20,콩게미 주차장,실외,건물주변,127.103529207168,37.2289131437365
용인시 기흥구,경기 용인시 기흥구 영덕동 986-4,영덕동 주차장,실외,노외,127.072333681123,37.2751272341161
용인시 기흥구,경기 용인시 기흥구 흥덕4로15번길 8,농우본갈비 주차장,실내,지상,127.089834131469,37.2730798874935
용인시 기흥구,경기 용인시 기흥구 흥덕2로87번길 18,그린도트 흥덕이씨티상가 주차장,실내,지하,127.072004154762,37.2756519305395
용인시 기흥구,경기 용인시 기흥구 하갈로 79-1,기흥호수공원 주차장,실외,야외시설,127.096248056725,37.2541772951526
용인시 기흥구,경기 용인시 기흥구 동백중앙로 214,동백동2동 행정복지센터 공영주차장,미분류,미분류,127.151695085033,37.2724950807308
