name,region,address,type1,type2,lon,lat
이천하이닉스근로자 주차장,이천시,경기 이천시 부발읍 가좌리 78-2,실외,노외,127.474334488292,37.2521097461097
SK하이닉스고담 주차장,이천시,경기 이천시 대산로 281,실외,건물주변,127.47470527212,37.2458664226036
강민주의들밥 본점 주차장,이천시,경기 이천시 마장면 이평리 371-2,실외,건물주변,127.367789788071,37.2214944303085
하이파킹 이천미란다호텔 주차장,이천시,경기 이천시 중리천로115번길 45,실외,건물주변,127.451095788021,37.275444191134
에이치원클럽 주차장,이천시,경기 이천시 호법면 장자터로 115,실내,지하,127.404093326772,37.1876912828194
부발역 임시공영주차장,이천시,경기 이천시 부발읍 아미리 1227,실외,노외,127.491632933712,37.2610073599878
설봉공원 설봉제1주차장,이천시,경기 이천시 관고동 355-9,실외,야외시설,127.428660219475,37.2785926931386
남천상가 공영주차장,이천시,경기 이천시 어재연로10번길 25 지하,실내,지하,127.44416668,37.27804554
민속식당 이천쌀밥집 주차장,이천시,경기 이천시 마장면 덕평로882번길 2-23,실외,건물주변,127.365822079769,37.2361882388127
고담주차장,이천시,경기 이천시 고담동 69-4,실외,노외,127.472425824805,37.2501919533095
터미널공영주차장,이천시,경기 이천시 중리동 439,실외,노상,127.448782703922,37.2772520750261
영원사 주차장,이천시,경기 이천시 백사면 원적로869번길 309-52,실외,야외시설,127.463701060221,37.353251392203
비에이비스타CC 주차장,이천시,경기 이천시 모가면 어농리 392-1,실외,야외시설,127.416422000076,37.1798968771912
오비맥주 화물차 주차장,이천시,경기 이천시 부발읍 중부대로1390번길 56,실외,건물주변,127.470263002189,37.2717222212963
삼원주차장,이천시,경기 이천시 영창로 232,실외,노외,127.448414539645,37.2803848284253
효자원장례식장 민영 주차장,이천시,경기 이천시 백사면 지읍로 169,실외,건물주변,127.477335061127,37.3212951033864
마장휴게소 주차장,이천시,경기 이천시 마장면 중부고속도로 82,실외,야외시설,127.40564338523512,37.26539002635425
시몬스테라스 주차타워,이천시,경기 이천시 모가면 신갈리 842,실내,지상,127.446756532984,37.1973203841175
백사 산수유꽃축제 주차장,이천시,경기 이천시 백사면 원적로775번길 17,실외,건물주변,127.46348573492,37.3409911338092
이천역 주차장,이천시,경기 이천시 이섭대천로 1063,실외,노외,127.443704449565,37.2648002794802
남천공원입구 노상공영주차장,이천시,경기 이천시 중리동 236,실외,노상,127.441215894109,37.2775873215171
국립이천호국원 주차장1,이천시,경기 이천시 설성면 노성로 260,실외,야외시설,127.492755981098,37.1251355384967
덕평자연휴게소 강릉방향 주차장,이천시,경기 이천시 마장면 각평리 산 21-3,실외,야외시설,127.390102390125,37.2426186899303
이천산수유마을 주차장,이천시,경기 이천시 백사면 도립리 1006,실외,야외시설,127.461890486563,37.340603535739
거궁 이천점 주차장,이천시,경기 이천시 신둔면 수남리 1,실외,건물주변,127.405790898785,37.2999903687878
별빛정원 우주테마파크 주차장(덕평휴게소 인천방향),이천시,경기 이천시 마장면 덕이로154번길 287-76,실외,야외시설,127.3909977036723,37.24161495216189
이천실크밸리GC 주차장,이천시,경기 이천시 율면 임오산로 296,실외,야외시설,127.573388279916,37.0799455113609
임금님쌀밥집 주차장,이천시,경기 이천시 신둔면 수광리 314-1,골목길,상가,127.403618978736,37.3064371881261
2-1관고전통시장입구앞 노상공영주차장,이천시,경기 이천시 창전동 178,실외,노상,127.441591213047,37.2805330197131
롯데프리미엄아울렛이천점 주차장,이천시,경기 이천시 호법면 단천리 865,실외,노외,127.400026089807,37.2422268786208
단내성가정성지 주차장,이천시,경기 이천시 호법면 단천리 406,실외,야외시설,127.396420002306,37.2207999893345
이진상회 주차장,이천시,경기 이천시 마장면 장암리 325,실외,건물주변,127.400005934045,37.2790228554903
원이쌀밥 주차장,이천시,경기 이천시 대월면 사동로 76-19,미분류,미분류,127.495453912473,37.2362682813346
중리천로주차장,이천시,경기 이천시 중리천로 38,실내,지상,127.44219406752651,37.2802703708752
장호원버스터미널 주차장,이천시,경기 이천시 장호원읍 샘재로 131,실외,노외,127.627150101041,37.1201847242035
8-3터미널뒤 노상공영주차장,이천시,경기 이천시 중리천로 96-23,실외,노상,127.447586521732,37.2768955600178
아미주차장,이천시,경기 이천시 부발읍 아미리 635-31,실외,건물주변,127.493968123262,37.2540306640578
블랙스톤이천GC 주차장,이천시,경기 이천시 장호원읍 장여로 459-160,실외,야외시설,127.616907325338,37.1613424126075
신둔도예촌역 주차장,이천시,경기 이천시 신둔면 수광리 528-8,실외,노외,127.405242869086,37.3155669010162
북샛말공영주차장,이천시,경기 이천시 이섭대천로 1299,실내,지상,127.448155393971,37.2861235804769
어농성지 주차장,이천시,경기 이천시 모가면 어농로62번길 148,실외,야외시설,127.430826635884,37.1881512325524
마임비전빌리지 주차장,이천시,경기 이천시 부발읍 두무재로 46,실외,야외시설,127.539227616486,37.2925951463516
테르메덴 주차장,이천시,경기 이천시 모가면 신갈리 579,미분류,미분류,127.445616577671,37.1956390925218
예스파크 주차장2,이천시,경기 이천시 신둔면 도자예술로61번길 30,미분류,미분류,127.385763371484,37.2923550519968
청목한식당 주차장,이천시,경기 이천시 사음동 623,실외,건물주변,127.409192135165,37.2994870559411
노성산주차장,이천시,경기 이천시 설성면 진상미로665번길 238-7,실외,야외시설,127.506229364519,37.1294146395872
스타벅스 이천하이닉스점 주차장,이천시,경기 이천시 부발읍 아미리 726-5,골목길,상가,127.48994489114,37.2525105751105
택시쉼터 공영주차장,이천시,경기 이천시 창전동 417,실외,노외,127.440283996243,37.2862825991365
