name,region,address,type1,type2,lon,lat
합정 공영주차장,평택시,경기 평택시 평택3로17번길 27 1~4층,실내,지상,127.0911773,36.99096987
통복시장 공영주차장,평택시,경기 평택시 통복동 69-1,실내,지상,127.085408,36.99741664
삼성전자 평택캠퍼스 사무복합동 주차타워,평택시,경기 평택시 삼성로 111,실내,지상,127.0528466,37.03184181
원평제2공영주차장,평택시,경기 평택시 원평로52번길 10,실외,노외,127.08413635561487,36.99101021303145
국제중앙시장 제2공영주차장,평택시,경기 평택시 쇼핑로 36-14,실내,지상,127.0533842,37.08051757
자란공영주차장,평택시,경기 평택시 중앙로 53,실내,지상,127.08942571585172,36.99456382
안정리쇼핑몰 공영주차장,평택시,경기 평택시 팽성읍 안정순환로 107,실외,야외시설,127.0436893809088,36.95805583900978
서정리역 지하 공영주차장,평택시,경기 평택시 고덕갈평로 86,실내,지하,127.0512677,37.05723751
원평제1공영주차장,평택시,경기 평택시 원평로 30,실외,노외,127.08570347691244,36.98909338818011
내리문화공원 주차장,평택시,경기 평택시 팽성읍 내리 260,실외,야외시설,127.0280433,36.97516086
소사벌상업지역제1공영주차장,평택시,경기 평택시 비전동 1099,실외,노외,127.1151151,37.00091441
평택지제역 공영주차장,평택시,경기 평택시 경기대로 777,실외,노외,127.0698249,37.01878992
신장쇼핑몰 제3공영주차장,평택시,경기 평택시 신장로 64-1,실내,지상,127.04994524503768,37.08082273
AK플라자 평택 주차장,평택시,경기 평택시 평택로 51,실내,지상,127.0855126,36.99119305
굿모닝병원 주차장,평택시,경기 평택시 소사2길 22,실내,지상,127.1216741,36.98885652
서정관광특구 공영주차장,평택시,경기 평택시 서정동 817-1,실내,지상,127.0621488,37.06707022
평택동공영주차장,평택시,경기 평택시 평택로75번길 12,실외,노외,127.083920137644,36.99358476107105
SRT지제역 주차장,평택시,경기 평택시 지제동 193-1,실외,노외,127.0692396,37.01971856
통복지구 공영주차장,평택시,경기 평택시 통복길 10,실내,지상,127.0826301,36.99732696
고덕제1공영주차장,평택시,경기 평택시 고덕동 2161-3,실내,지상,127.0495936,37.03988379
삼성반도체 평택캠퍼스 기술인 주차장,평택시,경기 평택시 고덕동 산 253,실외,야외시설,127.0489279,37.06556676
시계탑 주차장쏘울파크,평택시,경기 평택시 비전5로 21,실내,지상,127.1135817,37.00073901
만세해장국밥 평택본점 주차장,평택시,경기 평택시 죽백동 522-10,실외,건물주변,127.1094325,37.01123582
영빈루 전용주차장,평택시,경기 평택시 탄현로 341,실외,건물주변,127.0563144,37.08275087
국제중앙시장 제1공영주차장,평택시,경기 평택시 중앙시장로 32,실외,노상,127.05379655674584,37.08000377508368
